iter,time,reward,steps,convergence,policy
53,135.48550700000027,87.0,15.0,4.124957797557727e-08,True
54,46.166020999999446,87.0,15.0,2.566139301052317e-08,True
55,44.102706000000325,88.0,14.0,1.5964559452186222e-08,True
56,43.760643999998905,84.0,18.0,9.932250577548984e-09,True
57,50.96218799999974,90.0,12.0,6.1794622752131545e-09,True
58,44.38350399999891,85.0,17.0,3.844732532343187e-09,True
59,39.50966200000039,85.0,17.0,2.392155806774099e-09,True
60,44.06441599999944,90.0,12.0,1.4884165011608275e-09,True
61,51.03730899999981,81.0,21.0,9.261356126444298e-10,True
62,48.59984199999978,88.0,14.0,5.762501587014413e-10,True
63,48.23115800000011,85.0,17.0,3.5856828617397696e-10,True
64,56.937703000000894,88.0,14.0,2.2313884073810186e-10,True
65,45.835992999998965,88.0,14.0,1.3882583971280837e-10,True
66,48.65162599999984,82.0,20.0,8.640199666842818e-11,True
67,50.27988599999844,86.0,16.0,5.375966338760918e-11,True
68,50.646745999999965,86.0,16.0,3.3452351999585517e-11,True
69,51.18755400000019,87.0,15.0,2.0804691303055733e-11,True
70,48.89267299999922,85.0,17.0,1.2946088645549025e-11,True
71,54.69168800000013,90.0,12.0,8.071765478234738e-12,True
72,64.5163180000008,87.0,15.0,5.016431714466307e-12,True
73,56.924940000000035,88.0,14.0,3.126388037344441e-12,True
74,55.848428000000894,86.0,16.0,1.9326762412674725e-12,True
75,63.93904200000122,82.0,20.0,1.2221335055073723e-12,True
76,59.78360399999971,87.0,15.0,7.531752999057062e-13,True
77,59.66654299999874,85.0,17.0,4.547473508864641e-13,True
78,57.4285519999993,80.0,22.0,2.8421709430404007e-13,True
79,66.12452099999899,89.0,13.0,1.9895196601282805e-13,True
80,62.851223999999206,76.0,26.0,1.1368683772161603e-13,True
81,60.439283999999205,89.0,13.0,8.526512829121202e-14,True
82,63.83438000000119,81.0,21.0,5.6843418860808015e-14,True
83,65.40028199999881,72.0,30.0,2.8421709430404007e-14,True
84,62.96354299999862,82.0,20.0,2.8421709430404007e-14,True
85,66.54280000000057,85.0,17.0,0.0,True
86,66.66642399999922,86.0,16.0,0.0,True
87,65.59173499999993,84.0,18.0,0.0,True
88,67.42530600000052,89.0,13.0,0.0,True
89,69.8372470000006,91.0,11.0,0.0,True
90,70.37586700000098,80.0,22.0,0.0,True
91,91.27485700000015,90.0,12.0,0.0,True
92,70.23692799999992,81.0,21.0,0.0,True
93,68.31547100000002,89.0,13.0,0.0,True
94,62.90082100000127,82.0,20.0,0.0,True
95,69.5301930000003,91.0,11.0,0.0,True
96,80.67420599999942,81.0,21.0,0.0,True
97,70.83754299999967,89.0,13.0,0.0,True
98,73.4460410000004,78.0,24.0,0.0,True
99,75.80401100000067,80.0,22.0,0.0,True
100,73.3041839999995,86.0,16.0,0.0,True
