iter,time,reward,steps,convergence,policy
597,0.202758,85,17,2.823954845,
598,0.879589,90,12,3.230095204,
599,0.481731,81,21,3.505239298,
600,1.305891,84,18,3.296188685,
601,0.418279,80,22,2.861827169,
602,0.699806,89,13,2.794536541,
603,0.343886,75,27,2.327073959,
604,0.699076,76,26,2.304946743,
605,0.231567,88,14,2.260445898,
606,0.48866,85,17,2.26143938,
607,0.493766,84,18,1.787782601,
608,0.228649,86,16,1.34941406,
609,0.508717,72,30,1.420873511,
610,1.253742,85,17,1.779755633,
611,1.045515,91,11,2.222132088,
612,0.484284,89,13,2.653344764,
613,0.605721,70,32,2.656017656,
614,0.382541,82,20,2.876832564,
615,0.805195,79,23,2.528328461,
616,0.603897,86,16,2.54567366,
617,0.721686,88,14,2.64358453,
618,0.484649,82,20,2.633595036,
619,0.764718,69,33,2.265049536,
620,0.514188,86,16,2.336523814,
621,0.291008,86,16,1.84676245,
622,1.080524,88,14,1.414909704,
623,0.297208,85,17,1.751799963,
624,0.589675,89,13,1.590728924,
625,0.410256,86,16,1.595964065,
626,0.775293,77,25,1.583040504,
627,0.623224,90,12,1.935761512,
628,1.251919,91,11,2.263589311,
629,0.728615,86,16,2.49921477,
630,0.394575,82,20,2.03634709,
631,2.000226,82,20,2.136926997,
632,0.398587,20,33,2.204356027,
633,0.613378,87,15,2.020524234,
634,0.797538,89,13,2.411009756,
635,0.946324,89,13,2.543299605,
636,0.388375,82,20,2.541621764,
637,0.792797,85,17,2.138166408,
638,0.82197,88,14,1.888584698,
639,1.008318,83,19,1.619898164,
640,0.505071,80,22,1.681564698,
641,0.500695,70,32,1.753269262,
642,1.151634,86,16,1.701977502,
643,0.291738,26,27,1.548376981,
644,0.49486,87,15,1.458509022,
645,0.23339,79,23,1.399949073,
646,1.497708,73,29,1.737638797,
647,0.460216,83,19,1.774615575,
648,0.282985,73,29,1.915226728,
649,0.607543,83,19,1.928740081,
650,0.823429,89,13,1.878712859,
651,0.444171,77,25,1.763649736,
652,0.268398,89,13,2.016656724,
653,0.333675,88,14,2.01782489,
654,0.561595,81,21,1.639182447,
655,0.276056,81,21,1.571410669,
656,0.42776,81,21,1.5684646,
657,0.202393,88,14,1.787385447,
658,0.243236,80,22,1.769562677,
659,0.132376,78,24,2.089670049,
660,0.217709,85,17,2.314932912,
661,0.113413,83,19,2.285896851,
662,0.469698,88,14,2.43748094,
663,0.51127,91,11,2.420336584,
664,0.113777,86,16,2.435019309,
